詩人,性別,唐詩紀事卷,birth-death,,,Geography,背景,當官年代,,
1692. 孫蜀: 1 首,male,,,,,,poet詩人,,,
1693. 陳黯: 1 首,male,,,,,唐朝--河南道--許州--長社(Changshe),"poet詩人,civil office[為官者：文]",,,
1694. 羅虯: 1 首,,,,,,,,,,
1695. 李征古: 1 首,,,,,,,,,,
1696. 李昉: 1 首,male,,,,,,poet詩人,,,
1697. 馬致恭: 1 首,male,,,,,,,,,
1698. 張義方: 1 首,male,,,,,唐朝--江南道--蘇州--吳縣(Wu Xian),"poet詩人,civil office[為官者：文]",,,
1699. 沈祖仙: 1 首,male,,,,,,poet詩人,,,
1700. 邵士彥: 1 首,male,,,,,,poet詩人,,,
1701. 吳大江: 1 首,male,,,,,,skilled at writing工於文,,,
1702. 荊叔: 1 首,male,,,,,,poet詩人,,,
1703. 蕭靜: 1 首,male,,,,,,poet詩人,,,
1704. 張侹: 1 首,male,,,,,,poet詩人,,,
1705. 方澤: 1 首,,,,,,,,,,
1706. 景池: 1 首,male,,,,,,poet詩人,,,
1707. 張鴻: 1 首,male,,,,,	唐朝--江南道--連州--桂陽(Guiyang),poet詩人,,,
1708. 龐蘊: 1 首,male,,,,,唐朝--江南道--衡州--衡陽(Hengyang),poet詩人,,,
1709. 龍護老人: 1 首,,,,,,,,,,
1710. 冥吏: 1 首,,,,,,,,,,
1711. 水府君: 1 首,,,,,,,,,,
1712. 李序: 1 首,male,,,,,	唐朝--河北道--深州--安平(Anping),poet詩人,,,
1713. 輔國將軍: 1 首,,,,,,,,,,
1714. 太白山神: 1 首,,,,,,,,,,
1715. 瀵水神: 1 首,,,,,,,,,,
1716. 廣利王女: 1 首,female,,,,,,,,,
1717. 黃陵美人: 1 首,,,,,,,,,,
1718. 吳興神女: 1 首,female,,,,,,,,,
1719. 崔璐: 1 首,male,,,,,,poet詩人,,,
1720. 魏樸: 1 首,male,,,,,唐朝--江南道--常州(Chang Zhou),poet詩人,,,
1721. 羊昭業: 1 首,,,,,,,,,,
1722. 盧攜: 1 首,male,,?-880,,,唐朝--河北道--涿州--范陽(Fanyang),skilled at writing工於文,867-879,,
1723. 李廷璧: 1 首,male,,,,,,poet詩人,,,
1724. 許三畏: 1 首,male,,,,,,poet詩人,,,
1725. 盧嗣業: 1 首,male,,,,,	唐朝--河東道--蒲州(Pu Zhou),poet詩人,880-880,,
1726. 鄭合: 1 首,male,,,,,唐朝--河北道--鄭州(Zheng Zhou),poet詩人,,,
1727. 李克恭: 1 首,male,,,,,,poet詩人,,,
1728. 程賀: 1 首,male,,,,,,poet詩人,,,
1729. 盧尚卿: 1 首,male,,,,,唐朝--河北道--幽州--范陽(Fanyang),poet詩人,,,
1730. 李嶼: 1 首,male,,,,,唐朝--關內道--京兆--長安(Chang'an),poet詩人,,,
1731. 韓儀: 1 首,male,,,,,唐朝--關內道--京兆--萬年(Wannian),"poet詩人,skilled at writing工於文,civil office[為官者：文]",904-?,,
1732. 姚岩傑: 1 首,,,,,,,,,,
1733. 狄歸昌: 1 首,male,,,,,,poet詩人,898-?,,
1734. 裴贄: 1 首,male,,?-905,,,,skilled at writing工於文,882-907?,,
1735. 汪極: 1 首,male,,,,,	唐朝--江南道--歙州(She Zhou),poet詩人,,,
1736. 張曙1: 1 首,male,,,,,唐朝--山南道--鄧州--南陽(Nanyang),"poet詩人,man of culture (wenren)文人",,,
1737. 林嵩: 1 首,male,,,,,唐朝--江南道--福州--長溪(Changxi),"poet詩人,man of culture (wenren)文人,skilled at writing工於文",,,
1738. 張道古: 1 首,male,,,,,"唐朝--河南道--青州--臨淄(Linzi),	唐朝--河北道--棣州--蒲臺(Putai)",poet詩人,877-?,,
1739. 唐廩: 1 首,male,,,,,唐朝--江南道--袁州--萍鄉(Pingxiang),poet詩人,,,
1740. 陳乘: 1 首,male,,,,,	唐朝--江南道--泉州--仙遊(Xianyou),poet詩人,,,
1741. 裴皞: 1 首,male,,856-?,,,唐朝--河東道--蒲州--河東(Hedong),"poet詩人,skilled at writing工於文",907-?,,
1742. 王希羽: 1 首,male,,829-?,,,	唐朝--江南道--歙州(She Zhou),poet詩人,896-?,,
1743. 劉崇龜: 1 首,male,,?-895,,,唐朝--河北道--河南--河南(He'nan),poet詩人,797-895,,
1744. 劉崇魯: 1 首,male,,,,,	唐朝--河北道--河南--河南(He'nan),poet詩人,882-893,,
1745. 孫定: 1 首,male,,,,,,poet詩人,,,
1746. 薛准: 1 首,male,,?-902,,,,poet詩人,,,
1747. 李旭: 1 首,male,,,,,唐朝--江南道--袁州--宜春(Yichun),poet詩人,,,
1748. 崔庸: 1 首,male,,,,,唐朝--江南道--蘇州--吳縣(Wu Xian),poet詩人,,,
1749. 胡駢: 1 首,male,,,,,,poet詩人,,,
1750. 周祚: 1 首,male,,,,,,poet詩人,,,
1751. 劉谷: 1 首,male,,,,,,poet詩人,,,
1752. 王祝: 1 首,male,,,,,唐朝--關內道--京兆--咸陽(Xianyang),poet詩人,880-896,,
1753. 王滌: 1 首,male,,,,,,poet詩人,,,
1754. 韋冰: 1 首,male,,,,,,poet詩人,,,
1755. 李昌鄴: 1 首,male,,,,,,poet詩人,,,
1756. 王碩: 1 首,male,,,,,,poet詩人,,,
1757. 李縞: 1 首,male,,,,,,poet詩人,,,
1758. 張綺: 1 首,male,,,,,,poet詩人,,,
1759. 高衢: 1 首,male,,,,,,poet詩人,,,
1760. 蕭項: 1 首,male,,,,,	唐朝--江南道--泉州--莆田(Putian),poet詩人,904-?,,
1761. 蔣肱: 1 首,male,,,,,唐朝--江南道--袁州--宜春(Yichun),poet詩人,,,
1762. 張迥1: 1 首,male,,,,,,poet詩人,,,
1763. 馬冉: 1 首,male,,,,,,poet詩人,907-?,,
1764. 周鏞: 1 首,male,,,,,唐朝--江南道--越州--諸暨(Zhuji),poet詩人,,,
1765. 荊浩: 1 首,male,,,,,唐朝--河東道--澤州--沁水(Qinshui),"painter畫家,skilled at writing工於文",,,
1766. 張直: 1 首,male,,,,,唐朝--河南道--濮州(Pu Zhou),poet詩人,907-?,,
1767. 杜常: 1 首,male,,,,,	宋朝--河北西路--衛州--汲縣(Ji Xian),"poet詩人,office: finance[財政官員]",1098-1104,,
1768. 高力士: 1 首,male,,684-782,,,唐朝--嶺南道--潘州(Pan Zhou),poet詩人,709-756,,
1769. 王越賓: 1 首,male,,,,,,poet詩人,734-?,,
1770. 王良會: 1 首,male,,,,,,poet詩人,812-?,,
1771. 南詔驃信: 1 首,,,,,,,,,,
1772. 趙叔達: 1 首,male,,,,,,poet詩人,820-?,,
1773. 楊奇鯤: 1 首,male,,?-881,,,,poet詩人,,,
1774. 朝衡: 1 首,male,,698-770,,,,poet詩人,731-761,,
1775. 長屋: 1 首,,,,,,,,,,
1776. 王巨仁: 1 首,male,,,,,新羅(Silla),poet詩人,,,
1777. 李贊華: 1 首,male,,899-936,,,	遼朝--迭剌部(Diela Bu),poet詩人,,,
1778. 成輔端: 1 首,male,,?-804,,,,poet詩人,,,
1779. 張隱: 1 首,male,,,,,,poet詩人,,,
1780. 朱元: 1 首,male,,,,,,poet詩人,,92522,
1781. 陳璠: 1 首,male,,?-885,,,,poet詩人,907-?,,
1782. 鄭頲: 1 首,male,,?-621,,,唐朝--河北道--鄭州--榮陽(Rongyang),poet詩人,618-619,,
1783. 劉辟: 1 首,male,,?-806,,,,skilled at writing工於文,805-805,92700,
1784. 王鎔: 1 首,male,,?-857,,,,poet詩人,,,
1785. 鄧洵美: 1 首,,,,,,,,,,
1786. 李京: 1 首,male,,,,,唐朝--隴右道--秦州(Qin Zhou),poet詩人,,92976,
1787. 王易簡: 1 首,male,,885-963,,,唐朝--關內道--京兆--萬年(Wannian),"skilled at writing工於文,fond of learning好學, poet詩人",?-980,,
1788. 朱褒: 1 首,male,,,,,唐朝--江南道--溫州(Wen Zhou),poet詩人,883-883,,
1789. 盧文紀: 1 首,male,,876-951,,,唐朝--關內道--京兆--萬年(Wannian),"poet詩人,skilled at writing工於文",,,
1790. 崔居儉: 1 首,male,,870-939,,,唐朝--河北道--衛州(Wei Zhou),,,94543,
1791. 趙延壽: 1 首,male,,?-948,,,	唐朝--江南道--衢州--常山(Changshan),poet詩人,,,
1792. 韓昭裔: 1 首,male,,,,,,poet詩人,,,
1793. 張仁溥: 1 首,male,,,,,,poet詩人,,,
1794. 李瀚1: 1 首,male,,?-802,,,,poet詩人,,,
1795. 楊昭儉: 1 首,male,,902-977,,,宋朝--永興路--京兆府--長安(Chang'an),skilled at writing工於文,?-969,,
1796. 劉坦: 1 首,male,,,,,唐朝--河北道--河南--洛陽(Luoyang),"poet詩人,civil office[為官者：文]",,,
1797. 韋遵: 1 首,male,,,,,,poet詩人,,92193,
1798. 孟賓于: 1 首,male,,,,,唐朝--江南道--連州(Lian Zhou),poet詩人,,,
1799. 韋鼎: 1 首,male,,,,,唐朝--關內道--京兆--長安(Chang'an),"poet詩人,civil office[為官者：文]",,,
1800. 高越: 1 首,male,,,,,唐朝--河北道--幽州(You Zhou),poet詩人,?-960,,
1801. 包穎: 1 首,male,,,,,,poet詩人,,,
1802. 查文徽: 1 首,male,,,,,唐朝--江南道--歙州--休寧(Xiuning),civil office[為官者：文],,,
1803. 馬彧: 1 首,male,,,,,唐朝--河北道--涿州--范陽(Fanyang),"skilled at writing工於文,fond of learning好學, poet詩人",898-?,,
1804. 韓定辭: 1 首,male,,,,,	唐朝--河北道--深州(Shen Zhou),poet詩人,,,
1805. 何昌齡: 1 首,male,,,,,,poet詩人,,,
1806. 李羽: 1 首,male,,,,,	唐朝--淮南道--廬州(Lu Zhou),poet詩人,,,
1807. 梁藻: 1 首,male,,,,,唐朝--江南道--汀州--長汀(Changting),poet詩人,,,
1808. 李詢: 1 首,male,,,,,唐朝--江南道--建州--建安(Jian'an),"poet詩人,local literatus / gentry地方士人/鄉紳",,,
1809. 韓垂: 1 首,male,,,,,,poet詩人,,178566,
1810. 朱存: 1 首,male,,,,,唐朝--江南道--潤州--江寧(Jiangning),poet詩人,,,
1811. 陳彥: 1 首,male,,,,,	唐朝--江南道--福州--閩縣(Min Xian),poet詩人,,,
1812. 孫峴: 1 首,male,,,,,唐朝--江南道--虔州--南康(Nankang),poet詩人,,,
1813. 謝仲宣: 1 首,male,,,,,,poet詩人,,,
1814. 鐘蒨: 1 首,,,,,,,,,,
1815. 喬舜: 1 首,,,,,,,,,,
1816. 王沂: 1 首,male,,?-807,,,,poet詩人,,175364,
1817. 陳元裕: 1 首,male,,,,,,poet詩人,,,
1818. 張格: 1 首,male,,?-927,,,唐朝--河北道--瀛州--河間(Hejian),poet詩人,726-968?,,
1819. 王鍇: 1 首,male,,,,,,skilled at writing工於文,903-968,,
1820. 李浩弼: 1 首,male,,,,,,poet詩人,,,
1821. 楊鼎夫: 1 首,male,,?-954,,,唐朝--劍南道--成都--成都(Chengdu),poet詩人,,,
1822. 徐光溥: 1 首,,,,,,,,,,
1823. 劉義度: 1 首,male,,,,,,poet詩人,,,
1824. 劉羲叟: 1 首,male,,?-1060,,,宋朝--河東路--澤州--晉城(Jincheng),"astronomer天文學家（星象家),historian史學家,geomancer堪輿家∕風水師,specialist in the calendar曆算家,extensive factual knowledge強記;博學強記",,,
1825. 丁元和: 1 首,male,,,,,,poet詩人,,91896,
1826. 張觀: 1 首,male,,,,,	宋朝--兩浙西路--常州--武進(Wujin),"poet詩人,office: finance[財政官員]",976-?,,
1827. 劉章: 1 首,male,,,,,唐朝--江南道--江東(Jiangdong; Jiangzuo),poet詩人,,,
1828. 路洵美: 1 首,male,,,,,唐朝--江南道--永州--祁陽(Qiyang),poet詩人,,,
1829. 梁震: 1 首,male,,,,,唐朝--劍南道--邛州--依政(Yizheng),poet詩人,,,
1830. 杜建徽: 1 首,male,,863-?,,,唐朝--江南道--杭州--新城(Xincheng),poet詩人,,,
1831. 沈韜文: 1 首,male,,,,,	唐朝--江南道--湖州(Hu Zhou),poet詩人,,,
1832. 王繼勳: 1 首,male,,912-956,,,"唐朝--河南道--陝州--平陸(Pinglu),唐朝--江南道--泉州--晉江(Jinjiang)","military[武官],poet詩人,        excelled in particular military weapons精於某種兵器",,,
1833. 夏鴻: 1 首,male,,,,,,poet詩人,,,
1834. 劉山甫: 1 首,male,,,,,	唐朝--河南道--徐州--彭城(Pengcheng),poet詩人,,,
1835. 何象: 1 首,male,,,,,	宋朝--京西北路--河南府--河南(Henan),military[武官],,,
1836. 張震: 1 首,male,,,,,	唐朝--河北道--瀛州--河間(Hejian),poet詩人,728-728,,
1837. 武翊黃: 1 首,male,,,,,唐朝--河北道--河南--緱氏(Goushi),poet詩人,,,
1838. 李祜: 1 首,male,,,,,,poet詩人,,,
1839. 韓嶼: 1 首,male,,,,,,poet詩人,,,
1840. 李曜: 1 首,male,,,,,,poet詩人,884-884,,
1841. 吳圓: 1 首,male,,,,,,poet詩人,,,
1842. 陸弘休: 1 首,male,,,,,,poet詩人,846-?,,
1843. 安錡: 1 首,male,,,,,,poet詩人,,,
1844. 油蔚: 1 首,male,,,,,,poet詩人,,,
1845. 金昌緒: 1 首,male,,,,,	唐朝--江南道--杭州--餘杭(Yuhang),poet詩人,,,
1846. 曾麻幾: 1 首,,,,,,,,,,
1847. 劉戩: 1 首,male,,,,,,poet詩人,,,
1848. 楊齊哲: 1 首,male,,,,,,,704-?,,
1849. 劉夷道: 1 首,male,,,,,,poet詩人,697-?,,
1850. 郭恭: 1 首,male,,,,,,poet詩人,,,
1851. 符子珪: 1 首,male,,,,,	唐朝--隴右道--秦州--上邽(Shanggui),poet詩人,730-?,,
1852. 李何: 1 首,male,,?-765,,,,poet詩人,,,
1853. 李習: 1 首,male,,,,,,poet詩人,,,
1854. 顏舒: 1 首,male,,,,,	唐朝--關內道--京兆--萬年(Wannian),,,,
1855. 朱絳: 1 首,male,,,,,,poet詩人,,,
1856. 徐璧: 1 首,male,,,,,,"poet詩人,skilled at writing工於文",,,
1857. 徐安期: 1 首,male,,,,,,poet詩人,,,
1858. 陳述: 1 首,male,,,,,唐朝--河東道--蒲州--河東(Hedong),poet詩人,,,
1859. 朱琳: 1 首,male,,,,,,poet詩人,,,
1860. 謝陶: 1 首,male,,,,,,"poet詩人,skilled at writing工於文",,,
1861. 何贊: 1 首,,,,,,,,,,
1862. 解彥融: 1 首,male,,,,,,poet詩人,,,
1863. 李韶: 1 首,male,,,,,	唐朝--江南道--彬州(Chen Zhou),"painter畫家,poet詩人,civil office[為官者：文]",,,
1864. 安鴻漸: 1 首,male,,,,,唐朝--河北道--河南--洛陽(Luoyang),poet詩人,1001-?,,
1865. 李延陵: 1 首,,,,,,,,,,
1866. 秦尚運: 1 首,male,,,,,,poet詩人,797-?,,
1867. 張仲謀: 1 首,male,,,,,,"calligrapher書法家,poet詩人",,,
1868. 馮少吉: 1 首,male,,919-963,,,"唐朝--河北道--景州--景城(Jingcheng),宋朝--京西北路--河南府--洛陽(Luoyang)",poet詩人,,,
1869. 殷陶: 1 首,,,,,,,,,,
1870. 羅炯: 1 首,male,,736-809,,,	唐朝--江南道--越州--會稽(Kuaiji),poet詩人,762-808,,
1871. 韓雄: 1 首,,,,,,,,,,
1872. 苗仲方: 1 首,male,,,,,,skilled at writing工於文,,,
1873. 陳嶰: 1 首,male,,,,,唐朝--江南道--袁州(Yuan Zhou),poet詩人,,,
1874. 陳政: 1 首,male,,?-619,,,唐朝--河東道--蒲州--猗氏(Yishi),poet詩人,599-617,,
1875. 李建業: 1 首,male,,,,,,poet詩人,,,
1876. 羅維: 1 首,,,,,,,,,,
1877. 殷益: 1 首,,,,,,,,,,
1878. 李得: 1 首,,,,,,,,,,
1879. 王邵: 1 首,male,,?-584,,,,poet詩人,,,
1880. 曹修古: 1 首,male,,?-1033,,,宋朝--福建路--建州--建安(Jianan),"historian史學家,civil office[為官者：文]",1008-?,,
1881. 嚴郭: 1 首,,,,,,,,,,
1882. 張子明: 1 首,male,,,,,唐朝--江南道--衡州--攸縣(You Xian),poet詩人,,,
1883. 李謹言: 1 首,male,,,,,,poet詩人,,,
1884. 張保嗣: 1 首,male,,,,,,poet詩人,,,
1885. 潘圖: 1 首,male,,,,,	唐朝--江南道--袁州--宜春(Yichun),"poet詩人,skilled at writing工於文",,,
1886. 潘佐: 1 首,male,,,,,,"calligrapher書法家,poet詩人",,,
1887. 李逸: 1 首,male,,?-802,,,,poet詩人,,,
1888. 沈麟: 1 首,male,,,,,,poet詩人,,,
1889. 李倫: 1 首,male,,,,,唐朝--隴右道--涼州--姑臧(Guzang),"painter畫家,poet詩人",,,
1890. 盧子發: 1 首,male,,,,,	唐朝--江南道--袁州--宜春(Yichun),"calligrapher書法家,poet詩人,skilled at writing工於文",732-867,,
1891. 王夢周: 1 首,male,,,,,	唐朝--江南道--福州--連江(Lianjiang),poet詩人,831-?,,
1892. 孫咸: 1 首,male,,,,,,poet詩人,,,
1893. 李澣: 1 首,male,,?-962,,,"唐朝--河南道--曹州--濟陰(Jiyin),宋朝--永興路--京兆府--萬年(Wannian)","skilled at writing工於文,civil office[為官者：文]",,,
1894. 錢戭: 1 首,,,,,,,,,,
1895. 韋道遜: 1 首,male,,,,,	唐朝--嶺南道--恩州--杜陵(Duling),poet詩人,,,
1896. 王揆: 1 首,male,,,,,唐朝--江南道--潭州--長沙(Changsha),poet詩人,1041-?,,
1897. 王言史: 1 首,,,,,,,,,,
1898. 宋雍: 1 首,male,,,,,,poet詩人,,,
1899. 戴休珽: 1 首,male,,,,,唐朝--河東道--蒲州--河東(Hedong),skilled at writing工於文,735-742,,
1900. 盧鉟: 1 首,male,,,,,,poet詩人,860-?,,
1901. 王瓚: 1 首,male,,,,,,poet詩人,,,
1902. 慕容韋: 1 首,male,,,,,,"poet詩人,skilled at writing工於文",,,
1903. 黃文: 1 首,,,,,,,,,,
1904. 唐溫如: 1 首,male,,,,,唐朝--江南道--越州--會稽(Kuaiji),poet詩人,,,
1905. 歐陽賓: 1 首,male,,,,,唐朝--嶺南道--桂州--靈川(Lingchuan),poet詩人,,,
1906. 何敬: 1 首,male,,,,,,poet詩人,,,
1907. 楊彝: 1 首,male,,,,,,poet詩人,,,
1908. 裴瑤: 1 首,male,,,,,,poet詩人,,,
1909. 鄭玉: 1 首,male,,,,,,poet詩人,,,
1910. 麻溫其: 1 首,male,,,,,唐朝--河南道--青州--臨淄(Linzi),poet詩人,732-1040?,,
1911. 韋鎰: 1 首,male,,?-756,,,唐朝--關內道--京兆--萬年(Wannian),poet詩人,742-?,,
1912. 謝太虛: 1 首,male,,,,,,poet詩人,,,
1913. 周岳秀: 1 首,male,,,,,,poet詩人,,,
1914. 徐之才: 1 首,male,,,,,唐朝--江南道--潤州--丹陽(Danyang),poet詩人,,,
1915. 張陵: 1 首,male,,,,,,poet詩人,,,
1916. 蔡瑰: 1 首,,,,,,,,,,
1917. 潘求仁: 1 首,male,,,,,,poet詩人,640-?,,
1918. 劉元叔: 1 首,male,,,,,,skilled at writing工於文,,,
1919. 馮待征: 1 首,,,,,,,,,,
1920. 冷朝光: 1 首,male,,,,,,poet詩人,,,
1921. 衛萬: 1 首,male,,,,,,poet詩人,,,
1922. 李伉: 1 首,male,,,,,	唐朝--關內道--京兆--萬年(Wannian),skilled at writing工於文,840-865,,
1923. 劉望: 1 首,male,,,,,唐朝--江南道--袁州(Yuan Zhou),poet詩人,,,
1924. 趙防: 1 首,male,,,,,唐朝--江南道--袁州(Yuan Zhou),poet詩人,,,
1925. 劉廓: 1 首,male,,,,,	唐朝--江南道--袁州(Yuan Zhou),poet詩人,,,
1926. 姚偓: 1 首,male,,,,,,poet詩人,,,
1927. 李建樞: 1 首,male,,,,,,"poet詩人,	expert in poetic rhymes精通詩(詞曲)之聲韻音律",,,
1928. 方棫: 1 首,male,,,,,,poet詩人,,,
1929. 範夜: 1 首,,,,,,,,,,
1930. 楊行敏: 1 首,male,,,,,,poet詩人,,,
1931. 張懷: 1 首,male,,,,,,poet詩人,,,
1932. 趙湘: 1 首,male,,?-774,,,,poet詩人,,,
1933. 楊持: 1 首,male,,,,,,poet詩人,,,
1934. 李聰: 1 首,male,,,,,,poet詩人,,,
1935. 徐介: 1 首,male,,,,,許州--陽翟(Yangdi),poet詩人,,,
1936. 徐謙: 1 首,male,,,,,,poet詩人,,,
1937. 楊逵: 1 首,male,,,,,,"poet詩人,skilled at writing工於文",,,
1938. 魏兼恕: 1 首,male,,,,,,poet詩人,,,
1939. 熊曜: 1 首,male,,,,,唐朝--江南道--洪州--南昌(Nanchang),"poet詩人,skilled at writing工於文",728-?,,
1940. 唐堯臣: 1 首,male,,,,,,poet詩人,,,
1941. 吳英秀: 1 首,male,,,,,,skilled at writing工於文,,,
1942. 陳凝: 1 首,male,,,,,,"poet詩人,skilled at writing工於文",,,
1943. 鄭嚴: 1 首,male,,,,,,"poet詩人,skilled at writing工於文",,,
1944. 柳曾: 1 首,male,,,,,,"poet詩人,skilled at writing工於文",,,
1945. 衛光一: 1 首,male,,,,,,poet詩人,,,
1946. 林璠: 1 首,male,,,,,	唐朝--關內道--京兆--三原(Sanyuan),poet詩人,,,
1947. 顏胄: 1 首,,,,,,,,,,
1948. 張敬徽: 1 首,,,,,,,,,,
1949. 徐玄之: 1 首,male,,,,,	唐朝--江南道--洪州--南昌(Nanchang),poet詩人,727-?,,
1950. 郭汭: 1 首,,,,,,,,,,
1951. 權徹: 1 首,male,,684-747,,,唐朝--隴右道--秦州--上邽(Shanggui),poet詩人,735-742,,
1952. 豆盧回: 1 首,male,,,,,	唐朝--關內道--京兆--萬年(Wannian),poet詩人,751-?,,
1953. 張南容: 1 首,male,,?-780,,,	唐朝--河北道--涿州--范陽(Fanyang),poet詩人,779-?,,
1954. 沈徽: 1 首,male,,,,,"唐朝--江南道--蘇州(Su Zhou),唐朝--江南道--湖州--武康(Wukang)",poet詩人,,,
1955. 林琨: 1 首,male,,,,,唐朝--關內道--京兆--三原(Sanyuan),"poet詩人,skilled at writing工於文",,,
1956. 鄭德玄: 1 首,male,,,,,唐朝--山南道--江陵(Jiangling),poet詩人,618-?,,
1957. 張軫: 1 首,male,,697-732,,,唐朝--山南道--襄州--襄陽(Xiangyang),poet詩人,,,
1958. 蔡文恭: 1 首,male,,,,,,skilled at writing工於文,,,
1959. 賈宗: 1 首,male,,,,,,"poet詩人,skilled at writing工於文",,,
1960. 唐堯客: 1 首,male,,,,,,poet詩人,,,
1961. 朱晦: 1 首,male,,,,,,poet詩人,,,
1962. 林珝: 1 首,male,,,,,,"poet詩人,skilled at writing工於文",,,
1963. 衛葉: 1 首,male,,,,,,"poet詩人,skilled at writing工於文",,,
1964. 王玄: 1 首,male,,,,,唐朝--嶺南道--桂州--桂州(Guizhou),poet詩人,,,
1965. 李歸唐: 1 首,male,,,,,,poet詩人,,,
1966. 顧甄遠: 1 首,male,,,,,,poet詩人,,,
1967. 魏巒: 1 首,male,,,,,,poet詩人,,,
1968. 柳明獻: 1 首,male,,,,,	唐朝--河東道--蒲州--河東(Hedong),poet詩人,670-?,,
1969. 令狐挺: 1 首,male,,992-1058,,,唐朝--關內道--安北--山陰(Shanyin),poet詩人,,,
1970. 夏侯子雲: 1 首,male,,,,,,poet詩人,,,
1971. 方愚: 1 首,male,,,,,,poet詩人,,,
1972. 潘雍: 1 首,male,,,,,,poet詩人,,,
1973. 梁陟: 1 首,male,,,,,,"poet詩人,skilled at writing工於文",727-741,,
1974. 朱延: 1 首,male,,,,,,"poet詩人,skilled at writing工於文",,,
1975. 寇埴: 1 首,male,,,,,,poet詩人,,,
1976. 馮渚: 1 首,male,,,,,	唐朝--河北道--瀛州--河間(Hejian),poet詩人,782-795,,
1977. 郭求: 1 首,male,,,,,	唐朝--關內道--京兆(Jingzhao),poet詩人,814-815,,
1978. 鄭師貞: 1 首,male,,,,,,poet詩人,,,
1979. 陶拱: 1 首,male,,,,,,"poet詩人,skilled at writing工於文",,,
1980. 劉gL: 1 首,,,,,,,,,,
1981. 朱華: 1 首,male,,,,,	唐朝--江南道--潤州--丹陽(Danyang),poet詩人,,,
1982. 戴察: 1 首,male,,767-?,,,唐朝--江南道--蘇州(Su Zhou),poet詩人,,,
1983. 孫顧: 1 首,male,,,,,,poet詩人,,,
1984. 陳璀: 1 首,male,,,,,,poet詩人,,,
1985. 裴杞: 1 首,male,,,,,,poet詩人,,,
1986. 陳祜: 1 首,male,,,,,,poet詩人,813-821,,
1987. 吳秘: 1 首,male,,,,,,poet詩人,,,
1988. 張複元: 1 首,,,,,,,,,,
1989. 王景中: 1 首,male,,,,,,poet詩人,,,
1990. 鄧倚: 1 首,male,,,,,,poet詩人,,,
1991. 湯洙: 1 首,male,,,,,,poet詩人,,,
1992. 殷琮: 1 首,male,,,,,,"poet詩人,skilled at writing工於文",,,
1993. 朱延齡: 1 首,male,,?-863,,,,poet詩人,,,
1994. 鄭蕡: 1 首,male,,?-885,,,,poet詩人,,,
1995. 裴元: 1 首,male,,,,,,skilled at writing工於文,,,
1996. 杜周士: 1 首,male,,?-822,,,唐朝--關內道--京兆(Jingzhao),"poet詩人,skilled at writing工於文",804-821,,
1997. 樂伸: 1 首,male,,,,,,poet詩人,,,
1998. 徐至: 1 首,male,,,,,,poet詩人,,,
1999. 紇幹諷: 1 首,,,,,,,,,,
2000. 朱休: 1 首,male,,,,,唐朝--劍南道(Jiannan Dao),poet詩人,,,
2001. 成崿: 1 首,male,,,,,,skilled at writing工於文,,,
2002. 夏侯楚: 1 首,male,,,,,,"poet詩人,skilled at writing工於文",,,
2003. 胡權: 1 首,male,,,,,,"poet詩人,skilled at writing工於文",,,
2004. 郭邕: 1 首,male,,,,,,poet詩人,,,
2005. 張欽敬: 1 首,male,,,,,,"poet詩人,skilled at writing工於文",,,
2006. 叔孫玄觀: 1 首,male,,,,,	唐朝--河南道--徐州(Xu Zhou),"poet詩人,skilled at writing工於文",,,
2007. 王季友2: 1 首,male,,,,,,skilled at writing工於文,,92040,
2008. 南巨川: 1 首,male,,,,,	唐朝--河南道--兗州(Yan Zhou),poet詩人,757-?,,
2009. 丁居晦: 1 首,male,,?-840,,,,"poet詩人,skilled at writing工於文",831-840,,
2010. 辛宏: 1 首,male,,,,,,poet詩人,,,
2011. 康翊仁: 1 首,male,,,,,,poet詩人,,,
2012. 陳中師: 1 首,male,,?-824,,,,"poet詩人,skilled at writing工於文",815-?,,
2013. 管雄甫: 1 首,male,,,,,,"poet詩人,skilled at writing工於文",,,
2014. 鄧陟: 1 首,male,,,,,,poet詩人,,,
2015. 呂價: 1 首,male,,,,,,poet詩人,,,
2016. 苑gT: 1 首,,,,,,,,,,
2017. 羅泰: 1 首,male,,,,,,poet詩人,,,
2018. 崔藩: 1 首,male,,,,,,poet詩人,,,
2019. 李勳: 1 首,male,,,,,,poet詩人,,,
2020. 徐元鼎: 1 首,male,,,,,,,,,
2021. 呂炅: 1 首,male,,,,,	唐朝--河北道--河南--緱氏(Goushi),poet詩人,806-?,,
2022. 劉公興: 1 首,male,,,,,	唐朝--河南道--汴州--尉氏(Weishi),skilled at writing工於文,796-?,,
2023. 王卓: 1 首,male,,,,,,poet詩人,764-?,,
2024. 石倚: 1 首,male,,,,,,"poet詩人,skilled at writing工於文",,,
2025. 葉元良: 1 首,male,,,,,,poet詩人,,,
2026. 裴大章: 1 首,male,,,,,,poet詩人,,,
2027. 崔宗: 1 首,male,,,,,,"poet詩人,skilled at writing工於文",,,
2028. 鄭馥: 1 首,male,,,,,,"poet詩人,skilled at writing工於文",,,
2029. 吳叔達: 1 首,male,,,,,,poet詩人,,,
2030. 孟翱: 1 首,,,,,,,,,,
2031. 鄭昉: 1 首,male,,,,,,"poet詩人,skilled at writing工於文",,,
2032. 袁求賢: 1 首,male,,,,,,poet詩人,,,
